sample,date,material,year
MP16-001,Date 0,Rye,2016
MP16-002,Date 0,Rye,2016
MP16-003,Date 0,Rye,2016
MP16-004,Date 0,Rye,2016
MP16-005,Date 0,Rye,2016
MP16-006,Date 0,Rye,2016
MP16-007,Date 0,Rye,2016
MP16-008,Date 0,Rye,2016
MP16-009,Date 0,Rye,2016
MP16-010,Date 0,Rye,2016
MP16-011,Date 0,Rye,2016
MP16-012,Date 0,Rye,2016
MP16-013,Date 0,Rye,2016
MP16-014,Date 0,Rye,2016
MP16-015,Date 0,Rye,2016
MP16-016,Date 0,Rye,2016
MP16-017,Date 0,Rye,2016
MP16-018,Date 0,Rye,2016
MP16-019,Date 0,Rye,2016
MP16-020,Date 0,Rye,2016
MP16-021,Date 0,Rye,2016
MP16-022,Date 0,Rye,2016
MP16-023,Date 0,Rye,2016
MP16-024,Date 0,Rye,2016
MP16-025,Date 0,Rye,2016
MP16-026,Date 0,Rye,2016
MP16-027,Date 0,Rye,2016
MP16-028,Date 0,Rye,2016
MP16-029,Date 0,Rye,2016
MP16-030,Date 0,Rye,2016
MP16-031,Date 0,Rye,2016
MP16-032,Date 0,Rye,2016
MP16-033,Date 0,Rye,2016
MP16-034,Date 0,Rye,2016
MP16-035,Date 0,Rye,2016
MP16-036,Date 0,Rye,2016
MP16-037,Date 0,Rye,2016
MP16-038,Date 1,Rye,2016
MP16-039,Date 1,Rye,2016
MP16-040,Date 1,Rye,2016
MP16-041,Date 1,Rye,2016
MP16-042,Date 1,Rye,2016
MP16-043,Date 1,Rye,2016
MP16-044,Date 1,Rye,2016
MP16-045,Date 1,Rye,2016
MP16-046,Date 1,Rye,2016
MP16-047,Date 1,Rye,2016
MP16-048,Date 1,Rye,2016
MP16-049,Date 1,Rye,2016
MP16-050,Date 1,Rye,2016
MP16-051,Date 1,Rye,2016
MP16-052,Date 1,Rye,2016
MP16-053,Date 1,Rye,2016
MP16-054,Date 1,Rye,2016
MP16-055,Date 1,Rye,2016
MP16-056,Date 1,Rye,2016
MP16-057,Date 1,Rye,2016
MP16-058,Date 1,Rye,2016
MP16-059,Date 1,Rye,2016
MP16-060,Date 1,Rye,2016
MP16-061,Date 1,Rye,2016
MP16-062,Date 1,Rye,2016
MP16-063,Date 1,Rye,2016
MP16-064,Date 1,Rye,2016
MP16-065,Date 1,Rye,2016
MP16-066,Date 1,Rye,2016
MP16-067,Date 1,Rye,2016
MP16-068,Date 1,Rye,2016
MP16-069,Date 1,Rye,2016
MP16-070,Date 1,Rye,2016
MP16-071,Date 1,Rye,2016
MP16-072,Date 1,Rye,2016
MP16-073,Date 1,Rye,2016
MC16-074,Date 1,Squash,2016
MC16-075,Date 1,Squash,2016
MC16-076,Date 1,Squash,2016
MC16-077,Date 1,Squash,2016
MC16-078,Date 1,Squash,2016
MC16-079,Date 1,Squash,2016
MC16-080,Date 1,Squash,2016
MC16-081,Date 1,Squash,2016
MC16-082,Date 1,Squash,2016
MC16-083,Date 1,Squash,2016
MC16-084,Date 1,Squash,2016
MC16-085,Date 1,Squash,2016
MC16-086,Date 1,Squash,2016
MC16-087,Date 1,Squash,2016
MC16-088,Date 1,Squash,2016
MC16-089,Date 1,Squash,2016
MC16-090,Date 1,Squash,2016
MC16-091,Date 1,Squash,2016
MC16-092,Date 1,Squash,2016
MC16-093,Date 1,Squash,2016
MC16-094,Date 1,Squash,2016
MC16-095,Date 1,Squash,2016
MC16-096,Date 1,Squash,2016
MC16-097,Date 1,Squash,2016
MC16-098,Date 1,Squash,2016
MC16-099,Date 1,Squash,2016
MC16-100,Date 1,Squash,2016
MC16-101,Date 1,Squash,2016
MC16-102,Date 1,Squash,2016
MC16-103,Date 1,Squash,2016
MC16-104,Date 1,Squash,2016
MC16-105,Date 1,Squash,2016
MC16-106,Date 1,Squash,2016
MC16-107,Date 1,Squash,2016
MC16-108,Date 1,Squash,2016
MC16-109,Date 1,Squash,2016
MC16-110,Date 1,Squash,2016
MC16-111,Date 1,Squash,2016
MC16-112,Date 1,Squash,2016
MC16-113,Date 1,Squash,2016
MC16-114,Date 1,Squash,2016
MC16-115,Date 1,Squash,2016
MC16-116,Date 1,Squash,2016
MC16-117,Date 1,Squash,2016
MC16-118,Date 1,Squash,2016
MC16-119,Date 1,Squash,2016
MC16-120,Date 1,Squash,2016
MC16-121,Date 1,Squash,2016
MC16-122,Date 1,Squash,2016
MC16-123,Date 1,Squash,2016
MC16-124,Date 1,Squash,2016
MC16-125,Date 2,Squash,2016
MC16-126,Date 2,Squash,2016
MC16-127,Date 2,Squash,2016
MC16-128,Date 2,Squash,2016
MC16-129,Date 2,Squash,2016
MC16-130,Date 2,Squash,2016
MC16-131,Date 2,Squash,2016
MC16-132,Date 2,Squash,2016
MC16-133,Date 2,Squash,2016
MC16-134,Date 2,Squash,2016
MC16-135,Date 2,Squash,2016
MC16-136,Date 2,Squash,2016
MC16-137,Date 2,Squash,2016
MC16-138,Date 2,Squash,2016
MC16-139,Date 2,Squash,2016
MC16-140,Date 2,Squash,2016
MC16-141,Date 2,Squash,2016
MC16-142,Date 2,Squash,2016
MC16-143,Date 2,Squash,2016
MC16-144,Date 2,Squash,2016
MC16-145,Date 2,Squash,2016
MC16-146,Date 2,Squash,2016
MC16-147,Date 2,Squash,2016
MC16-148,Date 2,Squash,2016
MC16-149,Date 2,Squash,2016
MC16-150,Date 2,Squash,2016
MC16-151,Date 2,Squash,2016
MC16-152,Date 2,Squash,2016
MC16-153,Date 2,Squash,2016
MC16-154,Date 2,Squash,2016
MC16-155,Date 2,Squash,2016
MC16-156,Date 2,Squash,2016
MC16-157,Date 2,Squash,2016
MC16-158,Date 2,Squash,2016
MC16-159,Date 2,Squash,2016
MC16-160,Date 2,Squash,2016
MC16-161,Date 2,Squash,2016
MC16-162,Date 2,Squash,2016
MC16-163,Date 2,Squash,2016
MC16-164,Date 2,Squash,2016
MC16-165,Date 2,Squash,2016
MC16-166,Date 2,Squash,2016
MC16-167,Date 2,Squash,2016
MC16-168,Date 2,Squash,2016
MC16-169,Date 2,Squash,2016
MC16-170,Date 2,Squash,2016
MC16-171,Date 2,Squash,2016
MC16-172,Date 2,Squash,2016
MC16-173,Date 2,Squash,2016
MC16-174,Date 2,Squash,2016
MC16-175,Date 2,Squash,2016
MC16-176,Date 2,Squash,2016
MC16-177,Date 2,Squash,2016
MC16-178,Date 2,Squash,2016
MC16-179,Date 2,Squash,2016
MC16-180,Date 2,Squash,2016
MC16-181,Date 2,Squash,2016
MC16-182,Date 2,Squash,2016
MC16-183,Date 2,Squash,2016
MC16-184,Date 2,Squash,2016
MC16-185,Date 2,Squash,2016
MC16-186,Date 2,Squash,2016
MP16-187,Date 2,Rye,2016
MP16-188,Date 2,Rye,2016
MP16-189,Date 2,Rye,2016
MP16-190,Date 2,Rye,2016
MP16-191,Date 2,Rye,2016
MP16-192,Date 2,Rye,2016
MP16-193,Date 2,Rye,2016
MP16-194,Date 2,Rye,2016
MP16-195,Date 2,Rye,2016
MP16-196,Date 2,Rye,2016
MP16-197,Date 2,Rye,2016
MP16-198,Date 2,Rye,2016
MP16-199,Date 2,Rye,2016
MP16-200,Date 2,Rye,2016
MP16-201,Date 2,Rye,2016
MP16-202,Date 2,Rye,2016
MP16-203,Date 2,Rye,2016
MP16-204,Date 2,Rye,2016
MP16-205,Date 2,Rye,2016
MP16-206,Date 2,Rye,2016
MP16-207,Date 2,Rye,2016
MP16-208,Date 2,Rye,2016
MP16-209,Date 2,Rye,2016
MP16-210,Date 2,Rye,2016
MP16-211,Date 2,Rye,2016
MP16-212,Date 2,Rye,2016
MP16-213,Date 2,Rye,2016
MP16-214,Date 2,Rye,2016
MP16-215,Date 2,Rye,2016
MP16-216,Date 2,Rye,2016
MP16-217,Date 2,Rye,2016
MP16-218,Date 2,Rye,2016
MP16-219,Date 2,Rye,2016
MP16-220,Date 2,Rye,2016
MP16-221,Date 2,Rye,2016
MP16-222,Date 2,Rye,2016
MP16-223,Date 2,Rye,2016
MP16-224,Date 2,Rye,2016
MP16-225,Date 2,Rye,2016
MP16-226,Date 2,Rye,2016
MP16-227,Date 2,Rye,2016
MP16-228,Date 2,Rye,2016
MP16-229,Date 2,Rye,2016
MP16-230,Date 2,Rye,2016
MP16-231,Date 2,Rye,2016
MP16-232,Date 2,Rye,2016
MP16-233,Date 2,Rye,2016
MP16-234,Date 2,Rye,2016
MC16-235,Date 3,Squash,2016
MC16-236,Date 3,Squash,2016
MC16-237,Date 3,Squash,2016
MC16-238,Date 3,Squash,2016
MC16-239,Date 3,Squash,2016
MC16-240,Date 3,Squash,2016
MC16-241,Date 3,Squash,2016
MC16-242,Date 3,Squash,2016
MC16-243,Date 3,Squash,2016
MC16-244,Date 3,Squash,2016
MC16-245,Date 3,Squash,2016
MC16-246,Date 3,Squash,2016
MC16-247,Date 3,Squash,2016
MC16-248,Date 3,Squash,2016
MC16-249,Date 3,Squash,2016
MC16-250,Date 3,Squash,2016
MC16-251,Date 3,Squash,2016
MC16-252,Date 3,Squash,2016
MC16-253,Date 3,Squash,2016
MC16-254,Date 3,Squash,2016
MC16-255,Date 3,Squash,2016
MC16-256,Date 3,Squash,2016
MC16-257,Date 3,Squash,2016
MC16-258,Date 3,Squash,2016
MC16-259,Date 3,Squash,2016
MC16-260,Date 3,Squash,2016
MC16-261,Date 3,Squash,2016
MC16-262,Date 3,Squash,2016
MC16-263,Date 3,Squash,2016
MC16-264,Date 3,Squash,2016
MC16-265,Date 3,Squash,2016
MC16-266,Date 3,Squash,2016
MC16-267,Date 3,Squash,2016
MC16-268,Date 3,Squash,2016
MC16-269,Date 3,Squash,2016
MC16-270,Date 3,Squash,2016
MC16-271,Date 3,Squash,2016
MC16-272,Date 3,Squash,2016
MC16-273,Date 3,Squash,2016
MC16-274,Date 3,Squash,2016
MC16-275,Date 3,Squash,2016
MC16-276,Date 3,Squash,2016
MC16-277,Date 3,Squash,2016
MC16-278,Date 3,Squash,2016
MC16-279,Date 3,Squash,2016
MC16-280,Date 3,Squash,2016
MC16-281,Date 3,Squash,2016
MC16-282,Date 3,Squash,2016
MC16-283,Date 3,Squash,2016
MC16-284,Date 3,Squash,2016
MC16-285,Date 3,Squash,2016
MC16-286,Date 3,Squash,2016
MC16-287,Date 3,Squash,2016
MC16-288,Date 3,Squash,2016
MC16-289,Date 3,Squash,2016
MC16-290,Date 3,Squash,2016
MC16-291,Date 3,Squash,2016
MC16-292,Date 3,Squash,2016
MC16-293,Date 3,Squash,2016
MC16-294,Date 3,Squash,2016
MC16-295,Date 3,Squash,2016
MC16-296,Date 3,Squash,2016
MC16-297,Date 3,Squash,2016
MC16-298,Date 3,Squash,2016
MC16-299,Date 3,Squash,2016
MC16-300,Date 3,Squash,2016
MC16-301,Date 3,Squash,2016
MC16-302,Date 3,Squash,2016
MC16-303,Date 3,Squash,2016
MC16-304,Date 3,Squash,2016
MC16-305,Date 3,Squash,2016
MC16-306,Date 3,Squash,2016
MP16-307,Date 3,Rye,2016
MP16-308,Date 3,Rye,2016
MP16-309,Date 3,Rye,2016
MP16-310,Date 3,Rye,2016
MP16-311,Date 3,Rye,2016
MP16-312,Date 3,Rye,2016
MP16-313,Date 3,Rye,2016
MP16-314,Date 3,Rye,2016
MP16-315,Date 3,Rye,2016
MP16-316,Date 3,Rye,2016
MP16-317,Date 3,Rye,2016
MP16-318,Date 3,Rye,2016
MP16-319,Date 3,Rye,2016
MP16-320,Date 3,Rye,2016
MP16-321,Date 3,Rye,2016
MP16-322,Date 3,Rye,2016
MP16-323,Date 3,Rye,2016
MP16-324,Date 3,Rye,2016
MP16-325,Date 3,Rye,2016
MP16-326,Date 3,Rye,2016
MP16-327,Date 3,Rye,2016
MP16-328,Date 3,Rye,2016
MP16-329,Date 3,Rye,2016
MP16-330,Date 3,Rye,2016
MP16-331,Date 3,Rye,2016
MP16-332,Date 3,Rye,2016
MP16-333,Date 3,Rye,2016
MP16-334,Date 3,Rye,2016
MP16-335,Date 3,Rye,2016
MP16-336,Date 3,Rye,2016
MP16-337,Date 3,Rye,2016
MP16-338,Date 3,Rye,2016
MP16-339,Date 3,Rye,2016
MP16-340,Date 3,Rye,2016
MP16-341,Date 3,Rye,2016
MP16-342,Date 3,Rye,2016
MP16-343,Date 3,Rye,2016
